Format Version,1.23,Take Name,John_Intro_01,Take Notes,,Capture Frame Rate,120.000000,Export Frame Rate,60.000000,Capture Start Time,2025-04-30 07.24.37.876 ,Capture Start Frame,137956,Total Frames in Take,1685,Total Exported Frames,843,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,Type
,Name
,ID
,
Frame,Time (Seconds)
0,0.000000
1,0.016667
2,0.033333
3,0.050000
4,0.066667
5,0.083333
6,0.100000
7,0.116667
8,0.133333
9,0.150000
10,0.166667
11,0.183333
12,0.200000
13,0.216667
14,0.233333
15,0.250000
16,0.266667
17,0.283333
18,0.300000
19,0.316667
20,0.333333
21,0.350000
22,0.366667
23,0.383333
24,0.400000
25,0.416667
26,0.433333
27,0.450000
28,0.466667
29,0.483333
30,0.500000
31,0.516667
32,0.533333
33,0.550000
34,0.566667
35,0.583333
36,0.600000
37,0.616667
38,0.633333
39,0.650000
40,0.666667
41,0.683333
42,0.700000
43,0.716667
44,0.733333
45,0.750000
46,0.766667
47,0.783333
48,0.800000
49,0.816667
50,0.833333
51,0.850000
52,0.866667
53,0.883333
54,0.900000
55,0.916667
56,0.933333
57,0.950000
58,0.966667
59,0.983333
60,1.000000
61,1.016667
62,1.033333
63,1.050000
64,1.066667
65,1.083333
66,1.100000
67,1.116667
68,1.133333
69,1.150000
70,1.166667
71,1.183333
72,1.200000
73,1.216667
74,1.233333
75,1.250000
76,1.266667
77,1.283333
78,1.300000
79,1.316667
80,1.333333
81,1.350000
82,1.366667
83,1.383333
84,1.400000
85,1.416667
86,1.433333
87,1.450000
88,1.466667
89,1.483333
90,1.500000
91,1.516667
92,1.533333
93,1.550000
94,1.566667
95,1.583333
96,1.600000
97,1.616667
98,1.633333
99,1.650000
100,1.666667
101,1.683333
102,1.700000
103,1.716667
104,1.733333
105,1.750000
106,1.766667
107,1.783333
108,1.800000
109,1.816667
110,1.833333
111,1.850000
112,1.866667
113,1.883333
114,1.900000
115,1.916667
116,1.933333
117,1.950000
118,1.966667
119,1.983333
120,2.000000
121,2.016667
122,2.033333
123,2.050000
124,2.066667
125,2.083333
126,2.100000
127,2.116667
128,2.133333
129,2.150000
130,2.166667
131,2.183333
132,2.200000
133,2.216667
134,2.233333
135,2.250000
136,2.266667
137,2.283333
138,2.300000
139,2.316667
140,2.333333
141,2.350000
142,2.366667
143,2.383333
144,2.400000
145,2.416667
146,2.433333
147,2.450000
148,2.466667
149,2.483333
150,2.500000
151,2.516667
152,2.533333
153,2.550000
154,2.566667
155,2.583333
156,2.600000
157,2.616667
158,2.633333
159,2.650000
160,2.666667
161,2.683333
162,2.700000
163,2.716667
164,2.733333
165,2.750000
166,2.766667
167,2.783333
168,2.800000
169,2.816667
170,2.833333
171,2.850000
172,2.866667
173,2.883333
174,2.900000
175,2.916667
176,2.933333
177,2.950000
178,2.966667
179,2.983333
180,3.000000
181,3.016667
182,3.033333
183,3.050000
184,3.066667
185,3.083333
186,3.100000
187,3.116667
188,3.133333
189,3.150000
190,3.166667
191,3.183333
192,3.200000
193,3.216667
194,3.233333
195,3.250000
196,3.266667
197,3.283333
198,3.300000
199,3.316667
200,3.333333
201,3.350000
202,3.366667
203,3.383333
204,3.400000
205,3.416667
206,3.433333
207,3.450000
208,3.466667
209,3.483333
210,3.500000
211,3.516667
212,3.533333
213,3.550000
214,3.566667
215,3.583333
216,3.600000
217,3.616667
218,3.633333
219,3.650000
220,3.666667
221,3.683333
222,3.700000
223,3.716667
224,3.733333
225,3.750000
226,3.766667
227,3.783333
228,3.800000
229,3.816667
230,3.833333
231,3.850000
232,3.866667
233,3.883333
234,3.900000
235,3.916667
236,3.933333
237,3.950000
238,3.966667
239,3.983333
240,4.000000
241,4.016667
242,4.033333
243,4.050000
244,4.066667
245,4.083333
246,4.100000
247,4.116667
248,4.133333
249,4.150000
250,4.166667
251,4.183333
252,4.200000
253,4.216667
254,4.233333
255,4.250000
256,4.266667
257,4.283333
258,4.300000
259,4.316667
260,4.333333
261,4.350000
262,4.366667
263,4.383333
264,4.400000
265,4.416667
266,4.433333
267,4.450000
268,4.466667
269,4.483333
270,4.500000
271,4.516667
272,4.533333
273,4.550000
274,4.566667
275,4.583333
276,4.600000
277,4.616667
278,4.633333
279,4.650000
280,4.666667
281,4.683333
282,4.700000
283,4.716667
284,4.733333
285,4.750000
286,4.766667
287,4.783333
288,4.800000
289,4.816667
290,4.833333
291,4.850000
292,4.866667
293,4.883333
294,4.900000
295,4.916667
296,4.933333
297,4.950000
298,4.966667
299,4.983333
300,5.000000
301,5.016667
302,5.033333
303,5.050000
304,5.066667
305,5.083333
306,5.100000
307,5.116667
308,5.133333
309,5.150000
310,5.166667
311,5.183333
312,5.200000
313,5.216667
314,5.233333
315,5.250000
316,5.266667
